"","CALENDAR_YEAR","COVERAGE_TYPE","VESSEL_TYPE","GEAR_TYPE","MANAGEMENT_PROGRAM_CODE","NMFS_REGION","ALL OTHER STATEMENT TYPES","COAST GUARD","LIMITED ACCESS PROGRAMS","OLE PRIORITY: INTER-PERSONAL","OLE PRIORITY: SAFETY AND DUTIES","PROTECTED RESOURCE & PROHIBITED SPECIES","TOTAL_DAYS","TOTAL_CRUISES","TOTAL_OBSERVERS","DISTINCT_OBSERVER_ASSIGNMENTS","TOTAL_STATEMENTS","TOTAL_INCIDENTS","FACTOR_GROUP"
"56",2021,"FULL","CP/MS","PTR","AFA","BSAI",59.1440994909506,19.6522031078007,1.45134994720746,8.7976281143023,11.3824930308342,118.3323120213,4869,86,77,88,97.5699363085147,1065.14285733365,"FULLCP/MSPTRAFABSAI"
"57",2021,"FULL","CP/MS","PTR","CDQ","BSAI",24.9215900229409,9.89029965310702,3.15933904180471,10.5737740654314,14.9226035605367,7.90359258497081,1245,51,46,51,19.4300636914853,88.8571426663455,"FULLCP/MSPTRCDQBSAI"
"58",2021,"FULL","CP/MS","PTR","RPP","GOA",9.5377212579481,NA,75.4004299777997,15.1228733459357,NA,NA,46,3,3,3,1.1223683149149,4.60280713075744,"FULLCP/MSPTRRPPGOA"
"59",2021,"FULL","CV","HAL","IFQ","BSAI",NA,90.9090909090909,863.636363636364,NA,NA,NA,22,1,1,1,3,21,"FULLCVHALIFQBSAI"
"60",2021,"FULL","CV","NPT","OA","BSAI",9.6983491091265,3.02538667161112,0.420278434462832,9.0047015698462,NA,6.87127336262725,423,22,22,25,5.39883661077192,12.2754554094661,"FULLCVNPTOABSAI"
"61",2021,"FULL","CV","NPT","OA","GOA",NA,NA,NA,NA,NA,NA,2,1,1,1,0,0,"FULLCVNPTOAGOA"
"62",2021,"FULL","CV","NPT","RPP","GOA",16.7135533883471,10.9237536656891,0.448028673835125,9.35099846390169,13.7096774193548,31.0539606592238,372,34,33,40,16.0711839058534,30.5783896845708,"FULLCVNPTRPPGOA"
"63",2021,"FULL","CV","PTR","AFA","BSAI",44.141701145244,4.35152520639435,3.21297587685314,1.90400075219783,2.09205020920502,2.34622300502294,4302,88,86,99,51.6011633892281,249.724544590534,"FULLCVPTRAFABSAI"
"64",2021,"FULL","CV","PTR","OA","GOA",31.25,NA,5.20833333333333,NA,NA,NA,8,3,3,3,0.125,0.291666666666667,"FULLCVPTROAGOA"
"65",2021,"FULL","CV","PTR","RPP","GOA",36.7732558139535,7.97924901185771,2.15126811594203,6.85170807453416,10.5978260869565,11.1809600582484,368,39,38,51,18.4704827608132,27.7966103154292,"FULLCVPTRRPPGOA"
